"ID305B_1","ID305B_2","ID305B_3","DEPTH","STATION_ID","REGION","STATION_TYPE_1","STATION_TYPE_2","STATION_TYPE_3","STATION_LAT","STATION_LON","WATERSHED_ID","VAHU6","TEMP_VIO","TEMP_SAMP","TEMP_STAT","DO_VIO","DO_SAMP","DO_STAT","PH_VIO","PH_SAMP","PH_STAT","ECOLI_VIO_OLD","ECOLI_SAMP_OLD","ECOLI_STAT_OLD","ECOLI_STV_VIO","ECOLI_GEOMEAN_VIO","ECOLI_STAT_NEW","ENTER_VIO","ENTER_SAMP","ENTER_STAT","WAT_MET_VIO","WAT_MET_STAT","WAT_TOX_VIOv","WAT_TOX_STAT","SED_MET_VIO","SED_MET_STAT","SED_TOX_VIO","SED_TOX_STAT","FISH_MET_VIO","FISH_MET_STAT","FISH_TOX_VIO","FISH_TOX_STAT","BENTHIC_STAT","NUT_TP_VIO","NUT_TP_SAMP","NUT_TP_STAT","NUT_CHLA_VIO","NUT_CHLA_SAMP","NUT_CHLA_STAT","COMMENTS","Last Cycle Comment"
"VAC-L38L_HTA01L00","NA","NA","S, M","4AHTA003.26","BRRO","L","C","NA","36.92416667","-78.79972222","VAC-L38L_HTA01L00","RU80",0,56,"S",7,39,"10.5% Exceedance",0,39,"S",0,14,"S",0,0,"IN","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",0,2,"S",1,2,"Review","Not Analyzed by App","2013-2014 Lake Conner
Only one sample year
2006 FT/Sediment - Hg 2 Species"
"VAW-L10L_BSA01A10","NA","NA","S, M, B","4ABSA000.62","BRRO","A","L","TR","37.02777778","-79.63333333","VAW-L10L_BSA01A10","RU26",1,1197,"S",50,335,"10.5% Exceedance",1,46,"S",0,39,"S",0,0,"IN","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",0,2,"S",0,2,"S","Not Analyzed by App","Smith Mtn. Lake 2016 Pooled Data:  Temp 2 / 15,851 (S); DO 196 / 8,940 (S); pH 27 / 1,233 (S)."
"VAW-L10L_BWR01A10","NA","NA","S, M, B","4ABWR002.50","BRRO","A","L","TR","37.03888889","-79.61527778","VAW-L10L_BWR01A10","RU26",2,1192,"S",57,349,"10.5% Exceedance",0,45,"S",0,38,"S",0,0,"IN","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",0,2,"S",0,2,"S","Not Analyzed by App","Smith Mtn LakePooled Data: Temp 2 / 15,851 (S); DO 196 / 8,940 (S); pH 27 / 1,233 (S); TP 0 / 2 (S); CHLa 0 / 2 (S). PWS. LZ Nutrients Pooled CHLa:  0 / 2(S)- 90 %tile 2013- 5.90 <U+00B5>g/L; 2014- 6.55 <U+00B5>g/L. TP:  0 / 2(S) Median 2013- 10 <U+00B5>g/L; 2014 10 <U+00B5>g/L."
"VAW-L10L_BWR02A10","NA","NA","S, M, B","4ABWR010.55","BRRO","A","L","TR","37.04027778","-79.70277778","VAW-L10L_BWR02A10","RU24",5,1077,"S",39,239,"10.5% Exceedance",2,42,"S",1,39,"S",0,0,"IN","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",0,2,"S",0,2,"S","Not Analyzed by App","Smith Mtn. Lake 2016 Pooled Data:  Temp 2 / 15,851 (S); DO 196 / 8,940 (S); pH 27 / 1,233 (S)."
"VAW-L10L_BWR03A10","NA","NA","S, M, B","4ABWR017.42","BRRO","A","L","TR","37.06305556","-79.74444444","VAW-L10L_BWR03A10","RU24",2,337,"S",5,157,"S",4,40,"S",2,38,"S",0,0,"IN","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",2,2,"Review",0,2,"S","Not Analyzed by App","2014 DELIST Bacteria. Smith Mtn. Lake Pooled Data:  Temp 3 / 15,652 (S); DO 298 / 7,776 (S); pH 28 / 1,248 (S); TP 0 / 2 (S); CHLa 0 / 2 (S). PWS."
"VAW-L12L_CCK01A02","NA","NA","S, M, B","4ACCK001.80","BRRO","A","L","NA","37.06222222","-79.56777778","VAW-L12L_CCK01A02","RU27",0,1151,"S",45,288,"10.5% Exceedance",0,40,"S",0,37,"S",0,0,"IN","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",0,2,"S",0,2,"S","Not Analyzed by App","
Smith Mtn. Lake 2016 Pooled Data:  Temp 2 / 15,851 (S); DO 196 / 8,940 (S); pH 27 / 1,233 (S)."
"VAW-L10L_COA01A10","NA","NA","S, M, B","4ACOA000.60","BRRO","A","L","TR","37.02305556","-79.60222222","VAW-L10L_COA01A10","RU26",0,1177,"S",37,355,"S",0,46,"S",0,37,"S",0,0,"IN","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",0,2,"S",0,2,"S","Not Analyzed by App","Smith Mtn. Lake 2016 Pooled Data:  Temp 2 / 15,851 (S); DO 196 / 8,940 (S); pH 27 / 1,233 (S)."
"VAW-L11L_GIL01A10","NA","NA","S, M, B","4AGIL002.39","BRRO","A","L","NA","37.06527778","-79.6875","VAW-L11L_GIL01A10","RU25",2,683,"S",20,228,"S",0,45,"S",1,39,"S",0,0,"IN","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",0,2,"S",0,2,"S","Not Analyzed by App","Smith Mtn. Lake 2016 Pooled Data:  Temp 2 / 15,851 (S); DO 196 / 8,940 (S); pH 27 / 1,233 (S)."
"VAW-L07L_LVL01A10","VAW-L07R_LVL01A02","NA","S","4ALVL001.11","BRRO","A","L","NA","37.18361111","-79.76527778","VAW-L07L_LVL01A10","RU16",0,12,"S",0,12,"S",0,12,"S",6,12,"10.5% Exceedance",2,0,"Review","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",1,1,"Review",,,,"Not Analyzed by App","Smith Mtn. Lake Pooled Data:  Temp 2 / 15,739 (S); DO 367 / 7,408 (S); pH 31 / 1,246 (S); TP 0 / 2 (S); CHLa 0 / 2 (S)."
"VAW-L12L_ROA01A02","NA","NA","S, M, B","4AROA158.22","BRRO","A","L","TR","37.04166667","-79.53611111","VAW-L12L_ROA01A02","RU27",0,1234,"S",78,344,"10.5% Exceedance",0,41,"S",0,36,"S",0,0,"IN","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",0,2,"S",0,2,"S","Not Analyzed by App","Smith Mtn LakePooled Data: Temp 2 / 15,851 (S); DO 196 / 8,940 (S); pH 27 / 1,233 (S); TP 0 / 2 (S); CHLa 0 / 2 (S). PWS. LZ Nuts Pooled CHLa:  0 / 2(S)- 90 %tile 2013- 5.90 <U+00B5>g/L; 2014- 6.55 <U+00B5>g/L.  TP:  0 / 2(S) Median 2013- 10 <U+00B5>g/L; 2014 10 <U+00B5>g/L."
